Tarih,Saat,Ihlal_Turu
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:33,YORGUNLUK (UYUMA)
2025-12-14,06:27:33,DIKKAT DAGINIKLIGI (TELEFON)
